Time ,Direction
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:15,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Looking Up
12:01:16,Looking Up
12:01:16,Looking Up
12:01:16,Looking Up
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:16,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Looking Up
12:01:17,Looking Up
12:01:17,Looking Up
12:01:17,Forward
12:01:17,Looking Up
12:01:17,Looking Up
12:01:17,Looking Up
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:17,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Forward
12:01:18,Looking Up
12:01:18,Looking Up
12:01:18,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Forward
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Looking Up
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:19,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
12:01:20,Forward
