Time ,Direction
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:15,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Looking Up
12:00:16,Looking Up
12:00:16,Looking Up
12:00:16,Looking Up
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:16,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Looking Up
12:00:17,Looking Up
12:00:17,Looking Up
12:00:17,Forward
12:00:17,Looking Up
12:00:17,Looking Up
12:00:17,Looking Up
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:17,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Forward
12:00:18,Looking Up
12:00:18,Looking Up
12:00:18,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Forward
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Looking Up
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:19,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:20,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
12:00:21,Forward
