Frame Number,standing_on_bed Probability (Yes),standing_on_bed Probability (No)
0,0.2666371464729309,0.9763056039810181
1,0.24965904653072357,0.9791745543479919
2,0.27931684255599976,0.9736649990081787
3,0.272948294878006,0.9755984544754028
4,0.27381303906440735,0.9752289056777954
5,0.2664489448070526,0.9770085215568542
6,0.26459118723869324,0.9776850342750549
7,0.2614944279193878,0.9779075980186462
8,0.2583457827568054,0.9781212210655212
9,0.25369757413864136,0.9796016216278076
10,0.2246355414390564,0.9840616583824158
11,0.21333730220794678,0.9856305718421936
12,0.1962893009185791,0.9874269962310791
13,0.19585005939006805,0.9877542853355408
14,0.19045387208461761,0.9884300231933594
15,0.20806749165058136,0.986793577671051
16,0.21217647194862366,0.9855258464813232
17,0.21748560667037964,0.9849224090576172
18,0.21928197145462036,0.9843577146530151
19,0.24518939852714539,0.98014897108078
20,0.2640511691570282,0.9773807525634766
21,0.2690388262271881,0.9768370985984802
22,0.2774715721607208,0.9754716157913208
23,0.29746535420417786,0.9724524021148682
24,0.3106885254383087,0.9689576029777527
25,0.315400093793869,0.968711793422699
26,0.34147560596466064,0.9616147875785828
27,0.3143063187599182,0.9671223163604736
28,0.3246193826198578,0.9646846055984497
29,0.3248389661312103,0.9647613763809204
30,0.33038079738616943,0.9637441039085388
31,0.32384657859802246,0.9650044441223145
32,0.3360418677330017,0.961188554763794
33,0.33235299587249756,0.9606202840805054
34,0.34327033162117004,0.9585694670677185
35,0.3420787453651428,0.9588510394096375
36,0.34169888496398926,0.9612213969230652
37,0.30342593789100647,0.9682843089103699
38,0.28723180294036865,0.9731027483940125
39,0.26359933614730835,0.9774481058120728
40,0.25432220101356506,0.9782431125640869
41,0.24431556463241577,0.9794918298721313
42,0.26061534881591797,0.9763561487197876
43,0.25581955909729004,0.9785975813865662
44,0.24592779576778412,0.9801964163780212
45,0.23587755858898163,0.9823702573776245
46,0.23820583522319794,0.9827903509140015
47,0.24010665714740753,0.9820103049278259
48,0.23449724912643433,0.9822198152542114
49,0.23046179115772247,0.9831114411354065
50,0.2141544669866562,0.9853639006614685
51,0.19968996942043304,0.9864979982376099
52,0.22395552694797516,0.9827835559844971
53,0.22373835742473602,0.9838558435440063
54,0.2245538979768753,0.983475923538208
55,0.22552010416984558,0.9830590486526489
56,0.20085835456848145,0.9859923720359802
57,0.2076101154088974,0.9850285053253174
58,0.2076950967311859,0.9843295216560364
59,0.2204112708568573,0.9816858768463135
60,0.2133067548274994,0.9812342524528503
61,0.20709748566150665,0.9821447134017944
62,0.2005346417427063,0.9830832481384277
63,0.20004518330097198,0.9828290343284607
64,0.19000163674354553,0.9839721918106079
65,0.19916215538978577,0.9827069044113159
66,0.19088435173034668,0.984438955783844
67,0.1856154352426529,0.9854211211204529
68,0.17655913531780243,0.986880898475647
69,0.18627692759037018,0.9857110381126404
70,0.17609252035617828,0.9871684312820435
71,0.17960955202579498,0.9868394732475281
72,0.18227314949035645,0.9864943027496338
