Duration (s),Direction
38.733333333333334,Forward
38.766666666666666,Looking Up
38.8,Forward
38.833333333333336,Forward
38.86666666666667,Forward
38.9,Forward
38.93333333333333,Forward
38.96666666666667,Forward
39.0,Forward
39.03333333333333,Forward
39.06666666666666,Forward
39.1,Forward
39.13333333333333,Forward
39.166666666666664,Forward
39.2,Forward
39.233333333333334,Forward
39.266666666666666,Forward
39.3,Forward
39.333333333333336,Looking Up
39.36666666666667,Forward
39.4,Looking Up
39.43333333333333,Looking Up
39.46666666666667,Looking Up
39.5,Looking Up
39.53333333333333,Looking Up
39.56666666666666,Looking Up
39.6,Looking Up
39.63333333333333,Forward
39.666666666666664,Forward
39.7,Forward
39.733333333333334,Forward
39.766666666666666,Forward
39.8,Forward
39.833333333333336,Forward
39.86666666666667,Forward
39.9,Forward
39.93333333333333,Forward
39.96666666666667,Forward
40.0,Forward
40.03333333333333,Forward
40.06666666666666,Forward
40.1,Forward
40.13333333333333,Forward
40.166666666666664,Forward
40.2,Forward
40.233333333333334,Forward
40.266666666666666,Forward
40.3,Forward
40.333333333333336,Forward
40.36666666666667,Forward
40.4,Forward
40.43333333333333,Forward
40.46666666666667,Forward
40.5,Forward
40.53333333333333,Forward
40.56666666666666,Forward
40.6,Forward
40.63333333333333,Forward
40.666666666666664,Forward
40.7,Forward
40.733333333333334,Forward
40.766666666666666,Forward
40.8,Looking Up
40.833333333333336,Looking Up
40.86666666666667,Looking Up
40.9,Looking Up
40.93333333333333,Forward
40.96666666666667,Looking Up
41.0,Looking Up
41.03333333333333,Looking Up
41.06666666666666,Looking Up
41.1,Looking Up
41.13333333333333,Looking Up
41.166666666666664,Looking Up
41.2,Looking Up
41.233333333333334,Looking Up
41.266666666666666,Looking Up
41.3,Forward
41.333333333333336,Forward
41.36666666666667,Forward
41.4,Forward
41.43333333333333,Looking Right
41.46666666666667,Looking Right
41.5,Looking Right
41.53333333333333,Looking Right
41.56666666666666,Forward
41.6,Forward
41.63333333333333,Forward
41.666666666666664,Looking Right
41.7,Looking Right
41.733333333333334,Forward
41.766666666666666,Looking Right
41.8,Looking Right
41.833333333333336,Looking Right
41.86666666666667,Looking Right
41.9,Looking Right
41.93333333333333,Forward
41.96666666666667,Forward
42.0,Looking Right
42.03333333333333,Looking Right
42.06666666666666,Forward
42.1,Forward
42.13333333333333,Forward
42.166666666666664,Looking Right
42.2,Looking Right
42.233333333333334,Looking Right
42.266666666666666,Looking Right
42.3,Looking Right
42.333333333333336,Looking Right
42.36666666666667,Forward
42.4,Forward
42.43333333333333,Looking Right
42.46666666666667,Looking Right
42.5,Looking Right
42.53333333333333,Looking Right
42.56666666666666,Looking Right
42.6,Looking Right
42.63333333333333,Looking Right
42.666666666666664,Looking Right
42.7,Forward
42.733333333333334,Forward
42.766666666666666,Forward
42.8,Forward
42.833333333333336,Forward
42.86666666666667,Forward
42.9,Forward
42.93333333333333,Forward
42.96666666666667,Forward
43.0,Forward
43.03333333333333,Forward
43.06666666666666,Forward
43.1,Forward
43.13333333333333,Looking Right
43.166666666666664,Looking Right
43.2,Looking Right
43.233333333333334,Looking Right
43.266666666666666,Looking Right
43.3,Forward
43.333333333333336,Looking Right
43.36666666666667,Looking Right
43.4,Forward
43.43333333333333,Forward
43.46666666666667,Looking Right
43.5,Forward
43.53333333333333,Forward
43.56666666666666,Forward
43.6,Forward
43.63333333333333,Forward
43.666666666666664,Looking Right
43.7,Looking Right
43.733333333333334,Forward
43.766666666666666,Forward
43.8,Forward
43.833333333333336,Forward
43.86666666666667,Forward
43.9,Forward
43.93333333333333,Forward
43.96666666666667,Forward
44.0,Forward
44.03333333333333,Forward
44.06666666666666,Forward
44.1,Forward
44.13333333333333,Forward
44.166666666666664,Forward
44.2,Forward
44.233333333333334,Forward
44.266666666666666,Forward
44.3,Forward
44.333333333333336,Forward
44.36666666666667,Forward
44.4,Forward
44.43333333333333,Forward
44.46666666666667,Forward
44.5,Forward
44.53333333333333,Forward
44.56666666666666,Forward
44.6,Forward
44.63333333333333,Forward
44.666666666666664,Forward
44.7,Forward
44.733333333333334,Forward
44.766666666666666,Forward
44.8,Forward
44.833333333333336,Forward
44.86666666666667,Forward
44.9,Forward
44.93333333333333,Forward
