Frame Number,sleeping Probability (Yes),sleeping Probability (No)
0,0.20278938114643097,0.9711399674415588
1,0.21701578795909882,0.9673639535903931
2,0.22979624569416046,0.9631920456886292
3,0.2308020293712616,0.9621888995170593
4,0.2378716617822647,0.9593672156333923
5,0.25855082273483276,0.9514937996864319
6,0.26465508341789246,0.9492268562316895
7,0.2631031274795532,0.9494906067848206
8,0.26745742559432983,0.9478429555892944
9,0.2945927083492279,0.9356993436813354
10,0.2858714759349823,0.9347320795059204
11,0.23454928398132324,0.9545588493347168
12,0.2193487584590912,0.9581994414329529
13,0.19714172184467316,0.9645829796791077
14,0.18498966097831726,0.96831214427948
15,0.19971176981925964,0.9637517333030701
16,0.20152512192726135,0.9639101028442383
17,0.1968744546175003,0.9664357304573059
18,0.20947876572608948,0.9628238081932068
19,0.22083160281181335,0.9594535827636719
20,0.2240796536207199,0.9591327905654907
21,0.20837604999542236,0.9639955163002014
22,0.23188793659210205,0.9566828012466431
23,0.23815657198429108,0.9563937783241272
24,0.2446708381175995,0.955677330493927
25,0.24551823735237122,0.9551329612731934
26,0.2501857280731201,0.95440673828125
27,0.2799345850944519,0.9422497153282166
28,0.26545432209968567,0.948314905166626
29,0.2756390869617462,0.9452024102210999
30,0.2766711115837097,0.9449096918106079
31,0.31296345591545105,0.930266261100769
32,0.2991567850112915,0.9371640682220459
33,0.2530896067619324,0.9546046257019043
34,0.22907686233520508,0.9638016819953918
35,0.2173818200826645,0.967913031578064
36,0.21270963549613953,0.9693043231964111
37,0.23788151144981384,0.9602965116500854
38,0.2303883135318756,0.9635250568389893
39,0.22685584425926208,0.9644477367401123
40,0.2115284502506256,0.9661313891410828
41,0.22680309414863586,0.9594957828521729
42,0.24912875890731812,0.9509945511817932
43,0.272715300321579,0.9413611888885498
44,0.2748825252056122,0.9381495714187622
45,0.23908530175685883,0.9558142423629761
46,0.2257729321718216,0.961492121219635
47,0.18446536362171173,0.974307119846344
48,0.17547942698001862,0.9765800833702087
49,0.1551276594400406,0.9814445972442627
50,0.11472374945878983,0.9892812967300415
51,0.10503920167684555,0.9905683398246765
52,0.106329046189785,0.9905545115470886
53,0.09975836426019669,0.9918907880783081
54,0.0910416841506958,0.9930509328842163
55,0.08093196153640747,0.994314968585968
56,0.08442867547273636,0.9937363862991333
57,0.08059027791023254,0.9942976832389832
58,0.08187311142683029,0.9941950440406799
59,0.08497942984104156,0.9936450719833374
60,0.09657597541809082,0.9915873408317566
61,0.11018688976764679,0.9891940355300903
62,0.1348196268081665,0.984666109085083
63,0.14568398892879486,0.9825527667999268
64,0.17876213788986206,0.9738130569458008
65,0.21143437922000885,0.9643308520317078
66,0.251313179731369,0.9497304558753967
67,0.3034540116786957,0.9267768859863281
68,0.31879162788391113,0.9195382595062256
69,0.32936421036720276,0.9128833413124084
70,0.32478246092796326,0.9130839109420776
71,0.3087224066257477,0.9213995933532715
72,0.29882726073265076,0.926347553730011
73,0.29696759581565857,0.9257010221481323
74,0.27602142095565796,0.9323195815086365
75,0.26903000473976135,0.9345075488090515
76,0.26135918498039246,0.9375326633453369
77,0.26318851113319397,0.9374023079872131
78,0.2299666553735733,0.9524204730987549
79,0.20919610559940338,0.9602677226066589
80,0.20394939184188843,0.9636533260345459
81,0.17999981343746185,0.9711716771125793
82,0.14783665537834167,0.9803009629249573
83,0.130825474858284,0.9835007190704346
84,0.12796132266521454,0.9848504066467285
85,0.1279638260602951,0.9838292002677917
86,0.1182665005326271,0.9854345321655273
87,0.10696223378181458,0.9878650307655334
88,0.10108029842376709,0.9894222617149353
89,0.09895162284374237,0.9906265735626221
90,0.10164669156074524,0.990659773349762
91,0.09192658960819244,0.9921939373016357
92,0.10318280011415482,0.9905415177345276
93,0.10006801784038544,0.9906954765319824
94,0.09917370975017548,0.9908889532089233
