Frame Number,Moods
172,"[['calm', 0.5150246024131775], ['sad', 0.4340128004550934], ['happy', 0.10340140014886856], ['serious', 0.09769146144390106], ['angry', 0.08867622166872025]]"
173,"[['calm', 0.5209706425666809], ['sad', 0.43698787689208984], ['happy', 0.10594526678323746], ['serious', 0.10233091562986374], ['angry', 0.09018182754516602]]"
174,"[['calm', 0.5345022082328796], ['sad', 0.4420398473739624], ['serious', 0.10268283635377884], ['happy', 0.10143774747848511], ['angry', 0.08676941692829132]]"
175,"[['calm', 0.5456267595291138], ['sad', 0.4569329023361206], ['serious', 0.10871970653533936], ['happy', 0.09763281792402267], ['angry', 0.08662174642086029]]"
176,"[['calm', 0.5604945421218872], ['sad', 0.46267449855804443], ['serious', 0.1142047569155693], ['happy', 0.09625346213579178], ['angry', 0.0887279286980629]]"
177,"[['calm', 0.5584330558776855], ['sad', 0.45058706402778625], ['serious', 0.11561468988656998], ['happy', 0.09945432841777802], ['angry', 0.09311742335557938]]"
178,"[['calm', 0.5658583641052246], ['sad', 0.4458467364311218], ['serious', 0.11530032753944397], ['happy', 0.0978766679763794], ['angry', 0.09247592091560364]]"
179,"[['calm', 0.5709872245788574], ['sad', 0.4474339485168457], ['serious', 0.11365830153226852], ['happy', 0.09818824380636215], ['angry', 0.09478966891765594]]"
180,"[['calm', 0.575634241104126], ['sad', 0.44658270478248596], ['serious', 0.11405739933252335], ['happy', 0.09550876170396805], ['angry', 0.09390047192573547]]"
181,"[['calm', 0.5684611797332764], ['sad', 0.4444020688533783], ['serious', 0.1133127212524414], ['angry', 0.09334252029657364], ['happy', 0.09328401833772659]]"
182,"[['calm', 0.5771582126617432], ['sad', 0.44945788383483887], ['serious', 0.11337373405694962], ['angry', 0.09479989856481552], ['happy', 0.09204580634832382]]"
183,"[['calm', 0.582793116569519], ['sad', 0.4464351236820221], ['serious', 0.11718880385160446], ['angry', 0.10107241570949554], ['happy', 0.09566950798034668]]"
184,"[['calm', 0.5751829743385315], ['sad', 0.42685019969940186], ['serious', 0.11658947169780731], ['angry', 0.10821110755205154], ['happy', 0.09657025337219238]]"
185,"[['calm', 0.569530725479126], ['sad', 0.4200214445590973], ['serious', 0.11347116529941559], ['angry', 0.10268894582986832], ['happy', 0.09743332862854004]]"
186,"[['calm', 0.5602547526359558], ['sad', 0.3985516428947449], ['serious', 0.11042734235525131], ['angry', 0.10876598954200745], ['happy', 0.10222457349300385]]"
187,"[['calm', 0.5518954396247864], ['sad', 0.3929803967475891], ['angry', 0.1085871011018753], ['happy', 0.10323052108287811], ['serious', 0.10244549810886383]]"
188,"[['calm', 0.5353672504425049], ['sad', 0.3862465023994446], ['angry', 0.1126520186662674], ['serious', 0.10169455409049988], ['happy', 0.10162666440010071]]"
189,"[['calm', 0.5275111198425293], ['sad', 0.3680686354637146], ['angry', 0.11463811248540878], ['happy', 0.10456293821334839], ['serious', 0.09834557771682739]]"
190,"[['calm', 0.5485718250274658], ['sad', 0.3746362626552582], ['angry', 0.10923343896865845], ['serious', 0.10760921239852905], ['happy', 0.10189961642026901]]"
191,"[['calm', 0.5317506790161133], ['sad', 0.37473174929618835], ['angry', 0.1121244803071022], ['serious', 0.11066266149282455], ['happy', 0.10174455493688583]]"
192,"[['calm', 0.5159176588058472], ['sad', 0.36533641815185547], ['angry', 0.11285804957151413], ['happy', 0.10987502336502075], ['serious', 0.10628519207239151]]"
193,"[['calm', 0.4950813055038452], ['sad', 0.3650497496128082], ['angry', 0.1143735945224762], ['happy', 0.11415319889783859], ['serious', 0.10575226694345474]]"
194,"[['calm', 0.4800962209701538], ['sad', 0.36209648847579956], ['angry', 0.12233003228902817], ['happy', 0.11196459829807281], ['serious', 0.10026354342699051]]"
195,"[['calm', 0.47203564643859863], ['sad', 0.3572518229484558], ['angry', 0.12367773801088333], ['happy', 0.11181628704071045], ['serious', 0.09748326241970062]]"
196,"[['calm', 0.4574536383152008], ['sad', 0.3431259095668793], ['angry', 0.12864582240581512], ['happy', 0.11467313766479492], ['serious', 0.09310168027877808]]"
197,"[['calm', 0.45594534277915955], ['sad', 0.34240254759788513], ['angry', 0.1263343244791031], ['happy', 0.1109176054596901], ['serious', 0.09642353653907776]]"
198,"[['calm', 0.469342440366745], ['sad', 0.34796735644340515], ['angry', 0.12579217553138733], ['happy', 0.1084577888250351], ['serious', 0.0994843989610672]]"
199,"[['calm', 0.46279165148735046], ['sad', 0.3496001660823822], ['angry', 0.12329857796430588], ['happy', 0.10912951081991196], ['serious', 0.09784793108701706]]"
200,"[['calm', 0.46993517875671387], ['sad', 0.3493814468383789], ['angry', 0.11473792046308517], ['happy', 0.10725532472133636], ['serious', 0.0961025282740593]]"
201,"[['calm', 0.478678435087204], ['sad', 0.353335976600647], ['happy', 0.11191027611494064], ['angry', 0.1083553284406662], ['serious', 0.09661231935024261]]"
202,"[['calm', 0.5043835043907166], ['sad', 0.35869312286376953], ['happy', 0.11064588278532028], ['angry', 0.10376680642366409], ['serious', 0.10211963951587677]]"
203,"[['calm', 0.5060928463935852], ['sad', 0.3588525056838989], ['happy', 0.1048479974269867], ['serious', 0.10013831406831741], ['angry', 0.09841670095920563]]"
204,"[['calm', 0.4973696172237396], ['sad', 0.3545337915420532], ['angry', 0.10312778502702713], ['happy', 0.10244277864694595], ['serious', 0.09700928628444672]]"
205,"[['calm', 0.4988865554332733], ['sad', 0.36452290415763855], ['happy', 0.09954165667295456], ['angry', 0.09876501560211182], ['serious', 0.09033672511577606]]"
206,"[['calm', 0.4928162693977356], ['sad', 0.3638955056667328], ['angry', 0.10508181154727936], ['happy', 0.09559216350317001], ['serious', 0.09186659753322601]]"
207,"[['calm', 0.5009620189666748], ['sad', 0.39380112290382385], ['angry', 0.10252076387405396], ['serious', 0.09129970520734787], ['happy', 0.08944407850503922]]"
208,"[['calm', 0.4900246262550354], ['sad', 0.39559054374694824], ['angry', 0.10195422917604446], ['serious', 0.09160041064023972], ['happy', 0.08513464033603668]]"
209,"[['calm', 0.48785942792892456], ['sad', 0.4022144079208374], ['angry', 0.09813749045133591], ['serious', 0.09209184348583221], ['happy', 0.08579699695110321]]"
210,"[['calm', 0.4907183349132538], ['sad', 0.4005337655544281], ['angry', 0.09661625325679779], ['serious', 0.09619536995887756], ['happy', 0.08885321766138077]]"
211,"[['calm', 0.5025070905685425], ['sad', 0.41417747735977173], ['serious', 0.09716438502073288], ['angry', 0.09125202149152756], ['happy', 0.08974491059780121]]"
212,"[['calm', 0.5187499523162842], ['sad', 0.4160154461860657], ['serious', 0.09975116699934006], ['happy', 0.09041339159011841], ['angry', 0.09007789194583893]]"
213,"[['calm', 0.5281162858009338], ['sad', 0.4207864999771118], ['serious', 0.09942977130413055], ['happy', 0.09435820579528809], ['angry', 0.08545821160078049]]"
214,"[['calm', 0.5340570211410522], ['sad', 0.42011168599128723], ['serious', 0.1005706638097763], ['happy', 0.09149706363677979], ['angry', 0.08421413600444794]]"
215,"[['calm', 0.547507107257843], ['sad', 0.42081719636917114], ['serious', 0.10531806945800781], ['happy', 0.09254120290279388], ['angry', 0.08274787664413452]]"
216,"[['calm', 0.5566303730010986], ['sad', 0.42378801107406616], ['serious', 0.10760653018951416], ['happy', 0.09260367602109909], ['angry', 0.07908516377210617]]"
217,"[['calm', 0.5465140342712402], ['sad', 0.4194329082965851], ['serious', 0.10718107968568802], ['happy', 0.09369765967130661], ['angry', 0.07802841067314148]]"
218,"[['calm', 0.5505049824714661], ['sad', 0.421332448720932], ['serious', 0.10677149146795273], ['happy', 0.0926252007484436], ['angry', 0.07735654711723328]]"
219,"[['calm', 0.5408772230148315], ['sad', 0.4277755320072174], ['serious', 0.1047939881682396], ['happy', 0.09240465611219406], ['angry', 0.07496245205402374]]"
220,"[['calm', 0.5267055630683899], ['sad', 0.4358002841472626], ['serious', 0.10256951302289963], ['happy', 0.09279777109622955], ['angry', 0.07219745963811874]]"
221,"[['calm', 0.5226984024047852], ['sad', 0.435882031917572], ['serious', 0.10639084130525589], ['happy', 0.08782746642827988], ['angry', 0.07573492079973221]]"
222,"[['calm', 0.5187414884567261], ['sad', 0.4368239939212799], ['serious', 0.10562111437320709], ['happy', 0.08673854172229767], ['angry', 0.07695917785167694]]"
223,"[['calm', 0.5231369137763977], ['sad', 0.440354585647583], ['serious', 0.10994555056095123], ['happy', 0.08630595356225967], ['angry', 0.07768606394529343]]"
224,"[['calm', 0.5163975954055786], ['sad', 0.4392175078392029], ['serious', 0.10734228044748306], ['happy', 0.08679121732711792], ['angry', 0.07681597769260406]]"
225,"[['calm', 0.5132195353507996], ['sad', 0.4414723217487335], ['serious', 0.10828454792499542], ['happy', 0.08327120542526245], ['angry', 0.07865992933511734]]"
226,"[['calm', 0.5092201828956604], ['sad', 0.44950130581855774], ['serious', 0.10820383578538895], ['happy', 0.08122170716524124], ['angry', 0.07608179748058319]]"
227,"[['calm', 0.507689893245697], ['sad', 0.4555073082447052], ['serious', 0.10825663059949875], ['happy', 0.07950997352600098], ['angry', 0.07387713342905045]]"
228,"[['calm', 0.49869853258132935], ['sad', 0.46020442247390747], ['serious', 0.1031794399023056], ['happy', 0.08035965263843536], ['angry', 0.06876359134912491]]"
229,"[['calm', 0.49558225274086], ['sad', 0.4599989950656891], ['serious', 0.103358194231987], ['happy', 0.07914990186691284], ['angry', 0.06908130645751953]]"
230,"[['calm', 0.49154898524284363], ['sad', 0.45965608954429626], ['serious', 0.10252056270837784], ['happy', 0.07690917700529099], ['angry', 0.07011178135871887]]"
231,"[['calm', 0.5013214945793152], ['sad', 0.45562899112701416], ['serious', 0.10750814527273178], ['happy', 0.07683204114437103], ['angry', 0.07194609940052032]]"
232,"[['calm', 0.5059434175491333], ['sad', 0.4525376856327057], ['serious', 0.1055542603135109], ['happy', 0.07811351120471954], ['angry', 0.0717296376824379]]"
233,"[['calm', 0.511692225933075], ['sad', 0.4512948989868164], ['serious', 0.11047005653381348], ['happy', 0.07775091379880905], ['angry', 0.07557198405265808]]"
234,"[['calm', 0.5117316246032715], ['sad', 0.4473901689052582], ['serious', 0.10988418757915497], ['happy', 0.07918137311935425], ['angry', 0.07443924248218536]]"
235,"[['calm', 0.5127107501029968], ['sad', 0.4464602768421173], ['serious', 0.11305755376815796], ['happy', 0.07877585291862488], ['angry', 0.07564525306224823]]"
236,"[['calm', 0.5095195174217224], ['sad', 0.44518667459487915], ['serious', 0.10719003528356552], ['happy', 0.0781492292881012], ['angry', 0.0721290186047554]]"
237,"[['calm', 0.5085353255271912], ['sad', 0.43786293268203735], ['serious', 0.1036633774638176], ['happy', 0.07972103357315063], ['angry', 0.07345189154148102]]"
238,"[['calm', 0.511908769607544], ['sad', 0.43589329719543457], ['serious', 0.09989786148071289], ['happy', 0.08224629610776901], ['angry', 0.0716443806886673]]"
239,"[['calm', 0.511642336845398], ['sad', 0.4327700138092041], ['serious', 0.09793449938297272], ['happy', 0.08141333609819412], ['angry', 0.06895977258682251]]"
240,"[['calm', 0.5107924342155457], ['sad', 0.43622198700904846], ['serious', 0.09565141797065735], ['happy', 0.08285816013813019], ['angry', 0.06398450583219528]]"
241,"[['calm', 0.5200657844543457], ['sad', 0.4402138292789459], ['serious', 0.09674884378910065], ['happy', 0.08272988349199295], ['angry', 0.06323506683111191]]"
242,"[['calm', 0.5217105746269226], ['sad', 0.43839189410209656], ['serious', 0.09562958776950836], ['happy', 0.08541521430015564], ['angry', 0.061607807874679565]]"
243,"[['calm', 0.5172255039215088], ['sad', 0.4367460608482361], ['serious', 0.09527899324893951], ['happy', 0.08585251867771149], ['angry', 0.060764651745557785]]"
244,"[['calm', 0.5116784572601318], ['sad', 0.4332791268825531], ['serious', 0.09483335167169571], ['happy', 0.08719118684530258], ['angry', 0.05903502553701401]]"
245,"[['calm', 0.51848304271698], ['sad', 0.43361085653305054], ['serious', 0.09799697995185852], ['happy', 0.08640643954277039], ['angry', 0.06027795374393463]]"
246,"[['calm', 0.5138094425201416], ['sad', 0.42960503697395325], ['serious', 0.09413570910692215], ['happy', 0.08903128653764725], ['angry', 0.05804981663823128]]"
247,"[['calm', 0.5100499391555786], ['sad', 0.4288378655910492], ['serious', 0.09236501157283783], ['happy', 0.08952036499977112], ['angry', 0.05673627555370331]]"
248,"[['calm', 0.5088270902633667], ['sad', 0.42246896028518677], ['happy', 0.09622951596975327], ['serious', 0.08993678539991379], ['angry', 0.05477829650044441]]"
249,"[['calm', 0.512848973274231], ['sad', 0.42455950379371643], ['happy', 0.09749762713909149], ['serious', 0.09138885885477066], ['angry', 0.05521657317876816]]"
250,"[['calm', 0.4921416640281677], ['sad', 0.41776442527770996], ['happy', 0.10548942536115646], ['serious', 0.08866129070520401], ['angry', 0.052753131836652756]]"
251,"[['calm', 0.48772069811820984], ['sad', 0.4170931875705719], ['happy', 0.11018922924995422], ['serious', 0.08647817373275757], ['angry', 0.0514647401869297]]"
252,"[['calm', 0.4787997007369995], ['sad', 0.42439350485801697], ['happy', 0.10768258571624756], ['serious', 0.08454490453004837], ['angry', 0.05000711604952812]]"
253,"[['calm', 0.4809460937976837], ['sad', 0.42553603649139404], ['happy', 0.11227964609861374], ['serious', 0.08612081408500671], ['tired', 0.04931629076600075]]"
254,"[['calm', 0.4827154576778412], ['sad', 0.42492949962615967], ['happy', 0.117183156311512], ['serious', 0.08581626415252686], ['tired', 0.05010344460606575]]"
255,"[['calm', 0.4767846465110779], ['sad', 0.4190331995487213], ['happy', 0.12374517321586609], ['serious', 0.08276817947626114], ['angry', 0.049381501972675323]]"
256,"[['calm', 0.4758724868297577], ['sad', 0.4201093912124634], ['happy', 0.12274519354104996], ['serious', 0.08231782913208008], ['angry', 0.05103747919201851]]"
257,"[['calm', 0.4706803262233734], ['sad', 0.41806867718696594], ['happy', 0.12571677565574646], ['serious', 0.07932072877883911], ['angry', 0.05175996199250221]]"
258,"[['calm', 0.4749135971069336], ['sad', 0.41447702050209045], ['happy', 0.1257636845111847], ['serious', 0.07912018895149231], ['angry', 0.05408200994133949]]"
259,"[['calm', 0.48635149002075195], ['sad', 0.41335800290107727], ['happy', 0.13166561722755432], ['serious', 0.0797218531370163], ['angry', 0.05370805040001869]]"
260,"[['calm', 0.4856981933116913], ['sad', 0.4063825011253357], ['happy', 0.14129136502742767], ['serious', 0.07730688899755478], ['angry', 0.05335940420627594]]"
261,"[['calm', 0.4767606258392334], ['sad', 0.415947824716568], ['happy', 0.1312721222639084], ['serious', 0.08018730580806732], ['angry', 0.05388264358043671]]"
262,"[['calm', 0.4662924110889435], ['sad', 0.42251843214035034], ['happy', 0.12715686857700348], ['serious', 0.07928340882062912], ['angry', 0.05795547366142273]]"
263,"[['calm', 0.4754903316497803], ['sad', 0.4148739278316498], ['happy', 0.12902893126010895], ['serious', 0.07644731551408768], ['angry', 0.0605643205344677]]"
264,"[['calm', 0.4757300019264221], ['sad', 0.41380080580711365], ['happy', 0.1273057460784912], ['serious', 0.07572676241397858], ['angry', 0.06271278858184814]]"
265,"[['calm', 0.4690749943256378], ['sad', 0.4151414632797241], ['happy', 0.13115279376506805], ['serious', 0.07677070051431656], ['angry', 0.06379871815443039]]"
266,"[['calm', 0.47401759028434753], ['sad', 0.40338799357414246], ['happy', 0.14008504152297974], ['serious', 0.07607416063547134], ['angry', 0.0654120221734047]]"
267,"[['calm', 0.4727242887020111], ['sad', 0.3995663523674011], ['happy', 0.13318245112895966], ['serious', 0.07731642574071884], ['angry', 0.06534434854984283]]"
268,"[['calm', 0.4710721969604492], ['sad', 0.39656922221183777], ['happy', 0.13474228978157043], ['serious', 0.0764322355389595], ['angry', 0.06438630819320679]]"
269,"[['calm', 0.46481698751449585], ['sad', 0.39549827575683594], ['happy', 0.12795157730579376], ['serious', 0.0769817903637886], ['angry', 0.0682312473654747]]"
270,"[['calm', 0.45667707920074463], ['sad', 0.3959759473800659], ['happy', 0.128983274102211], ['serious', 0.0759950652718544], ['angry', 0.07169400155544281]]"
271,"[['calm', 0.45690083503723145], ['sad', 0.3900353014469147], ['happy', 0.13180291652679443], ['serious', 0.07934011518955231], ['angry', 0.07184954732656479]]"
272,"[['calm', 0.4650404453277588], ['sad', 0.40146273374557495], ['happy', 0.13090568780899048], ['serious', 0.07931105047464371], ['angry', 0.06930495798587799]]"
273,"[['calm', 0.46544474363327026], ['sad', 0.4130803346633911], ['happy', 0.13080503046512604], ['serious', 0.0799197182059288], ['angry', 0.07027937471866608]]"
274,"[['calm', 0.47576281428337097], ['sad', 0.4188085198402405], ['happy', 0.13223032653331757], ['serious', 0.08312172442674637], ['angry', 0.07312247157096863]]"
275,"[['calm', 0.48128440976142883], ['sad', 0.42134568095207214], ['happy', 0.1280163675546646], ['serious', 0.08496081829071045], ['angry', 0.07072798907756805]]"
276,"[['calm', 0.4844161868095398], ['sad', 0.42268016934394836], ['happy', 0.1259291172027588], ['serious', 0.08789839595556259], ['angry', 0.07220672070980072]]"
277,"[['calm', 0.47448113560676575], ['sad', 0.4243646562099457], ['happy', 0.12305092811584473], ['serious', 0.0904216319322586], ['angry', 0.07488512992858887]]"
278,"[['calm', 0.4793347716331482], ['sad', 0.43309444189071655], ['happy', 0.12241151183843613], ['serious', 0.09454219788312912], ['angry', 0.07201270759105682]]"
279,"[['calm', 0.4717196822166443], ['sad', 0.4326218068599701], ['happy', 0.12090220302343369], ['serious', 0.09316569566726685], ['angry', 0.07407603412866592]]"
280,"[['calm', 0.47125157713890076], ['sad', 0.44178295135498047], ['happy', 0.11609743535518646], ['serious', 0.08651033043861389], ['angry', 0.0722624659538269]]"
281,"[['calm', 0.47970691323280334], ['sad', 0.45400217175483704], ['happy', 0.10568321496248245], ['serious', 0.08898727595806122], ['angry', 0.07122819870710373]]"
282,"[['calm', 0.47985607385635376], ['sad', 0.44933974742889404], ['happy', 0.10813697427511215], ['serious', 0.08640807867050171], ['angry', 0.06961081176996231]]"
283,"[['calm', 0.4880482256412506], ['sad', 0.44865939021110535], ['happy', 0.10927926748991013], ['serious', 0.08285517245531082], ['angry', 0.06736208498477936]]"
284,"[['calm', 0.4916517734527588], ['sad', 0.44430479407310486], ['happy', 0.10703479498624802], ['serious', 0.07774192094802856], ['angry', 0.06490744650363922]]"
285,"[['calm', 0.4940354824066162], ['sad', 0.45133817195892334], ['happy', 0.10548281669616699], ['serious', 0.07849154621362686], ['angry', 0.06056557223200798]]"
286,"[['calm', 0.49267247319221497], ['sad', 0.4503595530986786], ['happy', 0.1055675819516182], ['serious', 0.0758613869547844], ['angry', 0.05925647169351578]]"
287,"[['calm', 0.49522462487220764], ['sad', 0.4505058825016022], ['happy', 0.09565418213605881], ['serious', 0.07778344303369522], ['angry', 0.06043758988380432]]"
288,"[['calm', 0.4924008548259735], ['sad', 0.4540656805038452], ['happy', 0.09361480921506882], ['serious', 0.07540944218635559], ['angry', 0.0582105852663517]]"
289,"[['calm', 0.48927441239356995], ['sad', 0.45311397314071655], ['happy', 0.09442535787820816], ['serious', 0.07389574497938156], ['angry', 0.0571773387491703]]"
290,"[['calm', 0.48263251781463623], ['sad', 0.45517680048942566], ['happy', 0.0982576459646225], ['serious', 0.07258406281471252], ['angry', 0.05893179401755333]]"
291,"[['calm', 0.48511749505996704], ['sad', 0.4518088400363922], ['happy', 0.09719929844141006], ['serious', 0.07153262197971344], ['angry', 0.05760953202843666]]"
292,"[['calm', 0.4782867431640625], ['sad', 0.4492098093032837], ['happy', 0.09406384080648422], ['serious', 0.06635630130767822], ['angry', 0.0546252466738224]]"
293,"[['calm', 0.4653829038143158], ['sad', 0.44764167070388794], ['happy', 0.09601137042045593], ['serious', 0.0616256445646286], ['angry', 0.05344342812895775]]"
294,"[['calm', 0.46116843819618225], ['sad', 0.44816112518310547], ['happy', 0.10433671623468399], ['serious', 0.060399770736694336], ['angry', 0.052729569375514984]]"
295,"[['calm', 0.4522527754306793], ['sad', 0.44845718145370483], ['happy', 0.10885158181190491], ['serious', 0.05911750718951225], ['angry', 0.050612788647413254]]"
296,"[['calm', 0.4530026912689209], ['sad', 0.43927904963493347], ['happy', 0.11518779397010803], ['serious', 0.05492023378610611], ['angry', 0.04810284078121185]]"
297,"[['calm', 0.4360607862472534], ['sad', 0.4215918183326721], ['happy', 0.132365882396698], ['serious', 0.04921703785657883], ['tired', 0.04487510025501251]]"
298,"[['calm', 0.43733489513397217], ['sad', 0.4238665997982025], ['happy', 0.13993006944656372], ['serious', 0.05305467173457146], ['angry', 0.046577271074056625]]"
299,"[['calm', 0.4444243013858795], ['sad', 0.42157524824142456], ['happy', 0.14478813111782074], ['serious', 0.05413355305790901], ['angry', 0.04735603928565979]]"
300,"[['calm', 0.4385014474391937], ['sad', 0.4176315665245056], ['happy', 0.1512044221162796], ['serious', 0.05478134751319885], ['angry', 0.052073001861572266]]"
301,"[['calm', 0.4400542974472046], ['sad', 0.4301042854785919], ['happy', 0.1536727398633957], ['serious', 0.058967266231775284], ['angry', 0.056008219718933105]]"
302,"[['calm', 0.44395753741264343], ['sad', 0.42945218086242676], ['happy', 0.15113802254199982], ['serious', 0.060269471257925034], ['angry', 0.05774984881281853]]"
303,"[['calm', 0.4428534507751465], ['sad', 0.42537176609039307], ['happy', 0.15018463134765625], ['serious', 0.05826588347554207], ['angry', 0.05617417395114899]]"
304,"[['calm', 0.43928906321525574], ['sad', 0.4175528287887573], ['happy', 0.1480070948600769], ['serious', 0.054589517414569855], ['tired', 0.05373659357428551]]"
305,"[['calm', 0.4368540644645691], ['sad', 0.40743333101272583], ['happy', 0.14226692914962769], ['angry', 0.057292427867650986], ['serious', 0.05664082244038582]]"
306,"[['calm', 0.4366658627986908], ['sad', 0.39886370301246643], ['happy', 0.1455986052751541], ['angry', 0.05969485640525818], ['serious', 0.05788220837712288]]"
307,"[['calm', 0.43571925163269043], ['sad', 0.39863550662994385], ['happy', 0.13822686672210693], ['angry', 0.06424972414970398], ['serious', 0.06286848336458206]]"
308,"[['calm', 0.43481916189193726], ['sad', 0.3930618464946747], ['happy', 0.1299501210451126], ['angry', 0.06572585552930832], ['serious', 0.06338229030370712]]"
309,"[['calm', 0.41810810565948486], ['sad', 0.38784509897232056], ['happy', 0.14098724722862244], ['angry', 0.05713586509227753], ['serious', 0.056457653641700745]]"
310,"[['calm', 0.4454931616783142], ['sad', 0.3907322883605957], ['happy', 0.1444052755832672], ['serious', 0.06328412145376205], ['angry', 0.05894475430250168]]"
311,"[['calm', 0.4386104941368103], ['sad', 0.3815464377403259], ['happy', 0.155936136841774], ['serious', 0.05959204211831093], ['angry', 0.05854247882962227]]"
312,"[['calm', 0.4479970335960388], ['sad', 0.37589478492736816], ['happy', 0.1486245095729828], ['serious', 0.058725837618112564], ['angry', 0.05748552456498146]]"
313,"[['calm', 0.44146400690078735], ['sad', 0.37260663509368896], ['happy', 0.1459546536207199], ['angry', 0.0573306679725647], ['serious', 0.056970518082380295]]"
314,"[['calm', 0.4419907033443451], ['sad', 0.3729495406150818], ['happy', 0.1426577866077423], ['angry', 0.05580431967973709], ['serious', 0.05440540239214897]]"
315,"[['calm', 0.44659408926963806], ['sad', 0.3778572678565979], ['happy', 0.1411764919757843], ['angry', 0.06080687418580055], ['serious', 0.055779021233320236]]"
316,"[['calm', 0.44950923323631287], ['sad', 0.3738073706626892], ['happy', 0.14142943918704987], ['angry', 0.057805415242910385], ['serious', 0.052455462515354156]]"
317,"[['calm', 0.4483221769332886], ['sad', 0.38387808203697205], ['happy', 0.13608884811401367], ['angry', 0.05698046088218689], ['serious', 0.054525621235370636]]"
318,"[['calm', 0.4422861635684967], ['sad', 0.3871266841888428], ['happy', 0.13965241611003876], ['angry', 0.05494845658540726], ['serious', 0.052981410175561905]]"
319,"[['calm', 0.4543340802192688], ['sad', 0.3884332776069641], ['happy', 0.14428935945034027], ['angry', 0.059422850608825684], ['serious', 0.05820918083190918]]"
320,"[['calm', 0.4457297921180725], ['sad', 0.39096009731292725], ['happy', 0.15062037110328674], ['angry', 0.0639377161860466], ['serious', 0.05824969336390495]]"
321,"[['calm', 0.4326566755771637], ['sad', 0.38980984687805176], ['happy', 0.15722641348838806], ['angry', 0.06671137362718582], ['serious', 0.05864925682544708]]"
322,"[['calm', 0.4305192828178406], ['sad', 0.37949666380882263], ['happy', 0.1642722636461258], ['angry', 0.06924562156200409], ['serious', 0.05680131912231445]]"
323,"[['calm', 0.43932294845581055], ['sad', 0.3885849118232727], ['happy', 0.15622146427631378], ['angry', 0.07123991847038269], ['serious', 0.05895482748746872]]"
324,"[['calm', 0.4364636540412903], ['sad', 0.3877606689929962], ['happy', 0.1605236977338791], ['angry', 0.07342442125082016], ['serious', 0.060270555317401886]]"
325,"[['calm', 0.4318835139274597], ['sad', 0.3878069221973419], ['happy', 0.1660555601119995], ['angry', 0.07301779836416245], ['serious', 0.06049307808279991]]"
326,"[['calm', 0.42277267575263977], ['sad', 0.3911275565624237], ['happy', 0.1639459729194641], ['angry', 0.07106132805347443], ['serious', 0.058747030794620514]]"
327,"[['calm', 0.44369369745254517], ['sad', 0.39607954025268555], ['happy', 0.15857698023319244], ['angry', 0.07643790543079376], ['serious', 0.06540633738040924]]"
328,"[['calm', 0.4584405720233917], ['sad', 0.4014377295970917], ['happy', 0.15602990984916687], ['angry', 0.08053454011678696], ['serious', 0.06657128036022186]]"
329,"[['calm', 0.45820510387420654], ['sad', 0.4068518280982971], ['happy', 0.16299773752689362], ['angry', 0.08711475878953934], ['serious', 0.06841152906417847]]"
330,"[['calm', 0.44988712668418884], ['sad', 0.4017111361026764], ['happy', 0.1714724600315094], ['angry', 0.08721894770860672], ['serious', 0.06550958007574081]]"
331,"[['calm', 0.4554179906845093], ['sad', 0.38971149921417236], ['happy', 0.1690647453069687], ['angry', 0.09723655134439468], ['serious', 0.07146870344877243]]"
332,"[['calm', 0.4347231686115265], ['sad', 0.39870741963386536], ['happy', 0.16974376142024994], ['angry', 0.0925077423453331], ['serious', 0.06764290481805801]]"
333,"[['calm', 0.4331260323524475], ['sad', 0.3958754539489746], ['happy', 0.1751101016998291], ['angry', 0.09308931976556778], ['serious', 0.06821024417877197]]"
334,"[['calm', 0.43669700622558594], ['sad', 0.39113470911979675], ['happy', 0.16803644597530365], ['angry', 0.09290571510791779], ['serious', 0.06845008581876755]]"
335,"[['calm', 0.4513469338417053], ['sad', 0.3857332766056061], ['happy', 0.15838977694511414], ['angry', 0.10019005835056305], ['serious', 0.07617554068565369]]"
336,"[['calm', 0.4575834274291992], ['sad', 0.37973663210868835], ['happy', 0.15393102169036865], ['angry', 0.09620635956525803], ['serious', 0.07555928826332092]]"
337,"[['calm', 0.4400063157081604], ['sad', 0.3727319538593292], ['happy', 0.15709151327610016], ['angry', 0.09435005486011505], ['serious', 0.07232637703418732]]"
338,"[['calm', 0.4450746178627014], ['sad', 0.3748701512813568], ['happy', 0.15007905662059784], ['angry', 0.08741967380046844], ['serious', 0.07587778568267822]]"
339,"[['calm', 0.4488884210586548], ['sad', 0.3770023286342621], ['happy', 0.14745761454105377], ['angry', 0.0916951596736908], ['serious', 0.07877623289823532]]"
340,"[['calm', 0.4575525224208832], ['sad', 0.3730214238166809], ['happy', 0.14424894750118256], ['angry', 0.09395719319581985], ['serious', 0.08457236737012863]]"
341,"[['calm', 0.449171781539917], ['sad', 0.36373984813690186], ['happy', 0.15492978692054749], ['angry', 0.10002364963293076], ['serious', 0.09008298814296722]]"
342,"[['calm', 0.4490392506122589], ['sad', 0.35322001576423645], ['happy', 0.1493893265724182], ['angry', 0.1029885858297348], ['serious', 0.09261372685432434]]"
343,"[['calm', 0.45524832606315613], ['sad', 0.3545721173286438], ['happy', 0.14560313522815704], ['angry', 0.11003139615058899], ['serious', 0.09427797794342041]]"
344,"[['calm', 0.457520991563797], ['sad', 0.34439074993133545], ['happy', 0.13854366540908813], ['angry', 0.10751324146986008], ['serious', 0.0990385115146637]]"
