Frame Number,Moods
39,"[['calm', 0.5116847157478333], ['sad', 0.36282554268836975], ['happy', 0.09693197906017303], ['angry', 0.06122029945254326], ['serious', 0.044912565499544144]]"
40,"[['calm', 0.4995100498199463], ['sad', 0.3565329909324646], ['happy', 0.106822669506073], ['angry', 0.06054979935288429], ['surprised', 0.043176744133234024]]"
41,"[['calm', 0.489400714635849], ['sad', 0.3469798266887665], ['happy', 0.10967151820659637], ['angry', 0.06652456521987915], ['surprised', 0.04556109756231308]]"
42,"[['calm', 0.49289804697036743], ['sad', 0.358222633600235], ['happy', 0.10736721009016037], ['angry', 0.07438600808382034], ['serious', 0.047164104878902435]]"
43,"[['calm', 0.5015919804573059], ['sad', 0.3653307557106018], ['happy', 0.11216256767511368], ['angry', 0.08020413666963577], ['serious', 0.05016227811574936]]"
44,"[['calm', 0.5175919532775879], ['sad', 0.4042321741580963], ['happy', 0.10425947606563568], ['angry', 0.07342483103275299], ['serious', 0.04696342721581459]]"
45,"[['calm', 0.5251593589782715], ['sad', 0.3950740694999695], ['happy', 0.09636130928993225], ['angry', 0.06980901211500168], ['tired', 0.045191697776317596]]"
46,"[['calm', 0.5334740877151489], ['sad', 0.3859410583972931], ['happy', 0.08327215909957886], ['angry', 0.06911802291870117], ['serious', 0.04772746190428734]]"
47,"[['calm', 0.5399153232574463], ['sad', 0.347145140171051], ['happy', 0.09305514395236969], ['angry', 0.08407869935035706], ['serious', 0.05383297801017761]]"
48,"[['calm', 0.5331537127494812], ['sad', 0.3076009750366211], ['angry', 0.09279056638479233], ['happy', 0.08937724679708481], ['serious', 0.05287707597017288]]"
49,"[['calm', 0.4966355860233307], ['sad', 0.26518604159355164], ['angry', 0.10656818002462387], ['happy', 0.1001008078455925], ['serious', 0.05515178292989731]]"
50,"[['calm', 0.4945335388183594], ['sad', 0.2660207748413086], ['angry', 0.1171678677201271], ['happy', 0.1017504557967186], ['serious', 0.061578936874866486]]"
51,"[['calm', 0.5144397616386414], ['sad', 0.27348262071609497], ['angry', 0.12218320369720459], ['happy', 0.10952436923980713], ['serious', 0.06917796283960342]]"
52,"[['calm', 0.5215617418289185], ['sad', 0.30039286613464355], ['angry', 0.12413358688354492], ['happy', 0.09866634011268616], ['serious', 0.07281797379255295]]"
53,"[['calm', 0.5237167477607727], ['sad', 0.3097318112850189], ['angry', 0.12432149797677994], ['happy', 0.10237617790699005], ['serious', 0.07850466668605804]]"
54,"[['calm', 0.5353126525878906], ['sad', 0.30376070737838745], ['angry', 0.12325610220432281], ['happy', 0.10397323220968246], ['serious', 0.08041609078645706]]"
55,"[['calm', 0.5192800164222717], ['sad', 0.3123602569103241], ['angry', 0.12744095921516418], ['happy', 0.10731659084558487], ['serious', 0.07623997330665588]]"
56,"[['calm', 0.5101717114448547], ['sad', 0.285408079624176], ['angry', 0.12587378919124603], ['happy', 0.11557578295469284], ['serious', 0.0736711323261261]]"
57,"[['calm', 0.5192142128944397], ['sad', 0.3087047338485718], ['angry', 0.11558224260807037], ['happy', 0.10405580699443817], ['serious', 0.07499827444553375]]"
58,"[['calm', 0.5258488655090332], ['sad', 0.3194441795349121], ['happy', 0.10172794759273529], ['angry', 0.10046215355396271], ['serious', 0.07621835172176361]]"
59,"[['calm', 0.5134727954864502], ['sad', 0.30631470680236816], ['happy', 0.09929225593805313], ['angry', 0.09091894328594208], ['serious', 0.06796974688768387]]"
60,"[['calm', 0.5080066323280334], ['sad', 0.31310558319091797], ['happy', 0.09790291637182236], ['angry', 0.07846780121326447], ['serious', 0.06139707565307617]]"
61,"[['calm', 0.5182323455810547], ['sad', 0.3372957706451416], ['happy', 0.09770353883504868], ['angry', 0.07247956842184067], ['serious', 0.06211957708001137]]"
62,"[['calm', 0.5217359662055969], ['sad', 0.3671371340751648], ['happy', 0.09582389891147614], ['angry', 0.07103735208511353], ['serious', 0.06024441123008728]]"
63,"[['calm', 0.5095105767250061], ['sad', 0.3985324800014496], ['happy', 0.08882171660661697], ['angry', 0.069222591817379], ['serious', 0.0581161268055439]]"
64,"[['calm', 0.4943535327911377], ['sad', 0.397655189037323], ['happy', 0.0944429486989975], ['angry', 0.06537720561027527], ['serious', 0.05578159913420677]]"
65,"[['calm', 0.5024831295013428], ['sad', 0.41109752655029297], ['happy', 0.09056452661752701], ['angry', 0.06118529662489891], ['serious', 0.05593489855527878]]"
66,"[['calm', 0.48911020159721375], ['sad', 0.4200725257396698], ['happy', 0.09051748365163803], ['angry', 0.05661879479885101], ['serious', 0.05187762528657913]]"
67,"[['calm', 0.48548972606658936], ['sad', 0.4328373670578003], ['happy', 0.0845983549952507], ['tired', 0.05728098005056381], ['angry', 0.0536978580057621]]"
68,"[['calm', 0.5056039094924927], ['sad', 0.42515313625335693], ['happy', 0.09295376390218735], ['tired', 0.0589507594704628], ['angry', 0.053922902792692184]]"
69,"[['calm', 0.5108107328414917], ['sad', 0.43632522225379944], ['happy', 0.09000357985496521], ['tired', 0.06256677955389023], ['angry', 0.056371767073869705]]"
70,"[['calm', 0.4847041964530945], ['sad', 0.4375620186328888], ['happy', 0.09269983321428299], ['tired', 0.06018727645277977], ['angry', 0.0559927262365818]]"
71,"[['calm', 0.4973273277282715], ['sad', 0.44104987382888794], ['happy', 0.08955970406532288], ['tired', 0.05930475890636444], ['angry', 0.05709456279873848]]"
72,"[['calm', 0.4894648492336273], ['sad', 0.4239383339881897], ['happy', 0.09841163456439972], ['tired', 0.05512666702270508], ['sleeping', 0.05418682470917702]]"
73,"[['calm', 0.4895510971546173], ['sad', 0.4181441068649292], ['happy', 0.10405896604061127], ['tired', 0.05485989898443222], ['sleeping', 0.052938565611839294]]"
74,"[['calm', 0.47685086727142334], ['sad', 0.40769872069358826], ['happy', 0.11557179689407349], ['tired', 0.053971149027347565], ['sleeping', 0.05162210762500763]]"
75,"[['calm', 0.4657701551914215], ['sad', 0.3876277208328247], ['happy', 0.12112566083669662], ['sleeping', 0.052969928830862045], ['tired', 0.05257213115692139]]"
76,"[['calm', 0.4484156668186188], ['sad', 0.36857861280441284], ['happy', 0.12757645547389984], ['sleeping', 0.05676797404885292], ['tired', 0.05213730409741402]]"
77,"[['calm', 0.45531970262527466], ['sad', 0.3600742518901825], ['happy', 0.1228458434343338], ['sleeping', 0.059312690049409866], ['tired', 0.053768888115882874]]"
78,"[['calm', 0.4538787007331848], ['sad', 0.3492947518825531], ['happy', 0.12854281067848206], ['sleeping', 0.05797620117664337], ['tired', 0.05349582061171532]]"
