Frame Number,Violence Probability
1,0.08759035915136337
2,0.08759035915136337
3,0.09085405617952347
4,0.09098458290100098
5,0.09689556062221527
6,0.09689556062221527
7,0.1002742201089859
8,0.1002742201089859
9,0.1002742201089859
10,0.11053470522165298
11,0.11053470522165298
12,0.11053470522165298
13,0.11053470522165298
14,0.11053470522165298
15,0.10417131334543228
16,0.10417131334543228
17,0.11401931941509247
18,0.11858432739973068
19,0.11858432739973068
20,0.11858432739973068
21,0.11858432739973068
22,0.11858432739973068
23,0.10799513757228851
24,0.11633569002151489
25,0.11633569002151489
26,0.11688602715730667
27,0.11688602715730667
28,0.11688602715730667
29,0.11688602715730667
30,0.11688602715730667
31,0.11165788769721985
32,0.11068613082170486
33,0.11068613082170486
34,0.11068613082170486
35,0.11068613082170486
36,0.1035492867231369
37,0.09684451669454575
38,0.10505692660808563
39,0.10505692660808563
40,0.10590367019176483
41,0.10590367019176483
42,0.10597538948059082
43,0.11605498939752579
44,0.11605498939752579
45,0.11605498939752579
46,0.11605498939752579
47,0.11605498939752579
48,0.1169000044465065
49,0.1169000044465065
50,0.1169000044465065
51,0.1169000044465065
52,0.1169000044465065
53,0.12581364810466766
54,0.12581364810466766
55,0.12581364810466766
56,0.12581364810466766
57,0.12581364810466766
58,0.11993056535720825
59,0.10849629342556
60,0.1036335751414299
61,0.1036335751414299
62,0.1036335751414299
63,0.10065583884716034
64,0.10065583884716034
65,0.10065583884716034
66,0.0986202284693718
67,0.09957293421030045
68,0.09957293421030045
69,0.09957293421030045
70,0.09957293421030045
71,0.09957293421030045
72,0.09717732667922974
73,0.09717732667922974
74,0.09717732667922974
75,0.09413014352321625
76,0.09413014352321625
77,0.09033407270908356
78,0.09033407270908356
79,0.08845604956150055
80,0.09078428149223328
81,0.09738419950008392
82,0.09738419950008392
83,0.09738419950008392
84,0.10270600765943527
85,0.10270600765943527
86,0.10270600765943527
87,0.10270600765943527
88,0.10270600765943527
89,0.090253546833992
90,0.090253546833992
91,0.090253546833992
92,0.09159787744283676
93,0.09286341816186905
94,0.09286341816186905
95,0.09286341816186905
96,0.09286341816186905
97,0.09286341816186905
98,0.08596986532211304
99,0.08188552409410477
100,0.08842729032039642
101,0.09480807185173035
102,0.09480807185173035
103,0.09480807185173035
104,0.0992162749171257
105,0.0992162749171257
106,0.0992162749171257
107,0.0992162749171257
108,0.0992162749171257
109,0.09536147862672806
110,0.0983494445681572
111,0.10048883408308029
112,0.10048883408308029
113,0.10367114841938019
114,0.10367114841938019
115,0.1088663786649704
116,0.1088663786649704
117,0.1088663786649704
118,0.1088663786649704
119,0.1088663786649704
120,0.10302196443080902
121,0.10302196443080902
122,0.10302196443080902
123,0.10086755454540253
124,0.09449947625398636
125,0.09138669818639755
126,0.09138669818639755
127,0.0894932970404625
128,0.07521592825651169
129,0.07084382325410843
130,0.0703558549284935
131,0.08015908300876617
132,0.08177217096090317
133,0.08177217096090317
134,0.08177217096090317
135,0.08177217096090317
136,0.08177217096090317
137,0.08135638386011124
138,0.08135638386011124
139,0.08135638386011124
140,0.08705452084541321
141,0.0970345214009285
142,0.0975550040602684
143,0.1076439693570137
144,0.11621122807264328
145,0.11766398698091507
146,0.11766398698091507
147,0.11766398698091507
148,0.11766398698091507
149,0.11913885921239853
150,0.11913885921239853
151,0.11913885921239853
152,0.11913885921239853
153,0.11913885921239853
154,0.11604657769203186
155,0.11008152365684509
156,0.11008152365684509
157,0.11008152365684509
158,0.11008152365684509
159,0.10946475714445114
160,0.10564316064119339
161,0.10503881424665451
162,0.09855378419160843
163,0.09855378419160843
164,0.0983046293258667
165,0.09739023447036743
166,0.09689507633447647
167,0.09507784992456436
168,0.09413567185401917
169,0.09924576431512833
170,0.09924576431512833
171,0.09924576431512833
172,0.10055091977119446
173,0.10055091977119446
174,0.11656155437231064
175,0.11656155437231064
176,0.11656155437231064
177,0.11656155437231064
178,0.11656155437231064
179,0.10217917710542679
180,0.10217917710542679
181,0.10217917710542679
182,0.10492896288633347
183,0.10661716759204865
184,0.11463617533445358
185,0.1254938691854477
186,0.12878236174583435
187,0.12878236174583435
188,0.12878236174583435
189,0.12878236174583435
190,0.12878236174583435
191,0.12726910412311554
192,0.12726910412311554
193,0.1124206930398941
194,0.11218149960041046
195,0.11218149960041046
196,0.11114752292633057
197,0.10651402175426483
198,0.10640081018209457
199,0.10640081018209457
200,0.10162148624658585
201,0.10156455636024475
202,0.09281104058027267
