Duration (s),Direction
40.733333333333334,Forward
40.766666666666666,Looking Up
40.8,Forward
40.833333333333336,Forward
40.86666666666667,Forward
40.9,Forward
40.93333333333333,Forward
40.96666666666667,Forward
41.0,Forward
41.03333333333333,Forward
41.06666666666666,Forward
41.1,Forward
41.13333333333333,Forward
41.166666666666664,Forward
41.2,Forward
41.233333333333334,Forward
41.266666666666666,Forward
41.3,Forward
41.333333333333336,Looking Up
41.36666666666667,Forward
41.4,Looking Up
41.43333333333333,Looking Up
41.46666666666667,Looking Up
41.5,Looking Up
41.53333333333333,Looking Up
41.56666666666666,Looking Up
41.6,Looking Up
41.63333333333333,Forward
41.666666666666664,Forward
41.7,Forward
41.733333333333334,Forward
41.766666666666666,Forward
41.8,Forward
41.833333333333336,Forward
41.86666666666667,Forward
41.9,Forward
41.93333333333333,Forward
41.96666666666667,Forward
42.0,Forward
