Frame Number,sleeping Probability (Yes),sleeping Probability (No)
0,0.2027893364429474,0.9711398482322693
1,0.2170160561800003,0.9673638939857483
2,0.22979697585105896,0.9631919264793396
3,0.2308007925748825,0.9621894359588623
4,0.23787245154380798,0.9593668580055237
5,0.2585507333278656,0.9514936804771423
6,0.2646551728248596,0.9492264986038208
7,0.26310575008392334,0.949489414691925
8,0.26745733618736267,0.9478430151939392
9,0.29459381103515625,0.9356988072395325
10,0.2858717739582062,0.9347318410873413
11,0.2345508188009262,0.9545581936836243
12,0.2193487137556076,0.9581995606422424
13,0.1971425861120224,0.9645826816558838
14,0.1849900186061859,0.9683120250701904
15,0.19971202313899994,0.9637515544891357
16,0.20152470469474792,0.9639103412628174
17,0.19687388837337494,0.966435968875885
18,0.2094782441854477,0.9628239870071411
19,0.22083252668380737,0.9594531059265137
20,0.22407878935337067,0.9591332077980042
21,0.20837579667568207,0.9639955163002014
22,0.23188836872577667,0.956682562828064
23,0.23815789818763733,0.9563931822776794
24,0.24467140436172485,0.9556771516799927
25,0.24551841616630554,0.9551328420639038
26,0.250186562538147,0.954406201839447
27,0.27993467450141907,0.9422497153282166
28,0.26545464992523193,0.948314905166626
29,0.2756374776363373,0.9452032446861267
30,0.2766725420951843,0.9449092149734497
31,0.31296300888061523,0.9302664399147034
32,0.299157053232193,0.9371643662452698
33,0.25308844447135925,0.9546051621437073
34,0.2290785163640976,0.9638012647628784
35,0.2173815220594406,0.9679131507873535
36,0.21270951628684998,0.9693042635917664
37,0.23788100481033325,0.960296630859375
38,0.2303888201713562,0.9635248184204102
39,0.22685319185256958,0.9644485116004944
40,0.21152885258197784,0.9661313891410828
41,0.22680294513702393,0.9594959020614624
42,0.24912746250629425,0.9509949088096619
43,0.2727147936820984,0.9413616061210632
44,0.27488067746162415,0.9381512403488159
45,0.2390858381986618,0.955814003944397
46,0.22577430307865143,0.9614915251731873
47,0.18446490168571472,0.9743072390556335
48,0.17547816038131714,0.9765805006027222
49,0.1551271677017212,0.9814447164535522
50,0.11472418904304504,0.989281177520752
51,0.10503917932510376,0.9905683398246765
52,0.10632892698049545,0.9905545115470886
53,0.09975767880678177,0.9918909072875977
54,0.09104154258966446,0.9930509328842163
55,0.08093170821666718,0.9943150877952576
56,0.08442877978086472,0.9937362670898438
57,0.08059040457010269,0.9942976832389832
58,0.08187297731637955,0.9941950440406799
59,0.08497950434684753,0.9936450719833374
60,0.0965762659907341,0.9915873408317566
61,0.11018622666597366,0.9891941547393799
62,0.1348191350698471,0.9846663475036621
63,0.14568345248699188,0.9825530052185059
64,0.17876271903514862,0.9738128781318665
65,0.211435005068779,0.9643306136131287
66,0.251313179731369,0.9497303366661072
67,0.30345389246940613,0.9267770051956177
68,0.3187901973724365,0.9195393323898315
69,0.329364150762558,0.9128835201263428
70,0.3247843086719513,0.9130828380584717
71,0.3087221086025238,0.9213994741439819
72,0.2988263964653015,0.9263479709625244
73,0.29696640372276306,0.9257013201713562
74,0.2760225236415863,0.932319164276123
75,0.26902738213539124,0.9345085024833679
76,0.2613579034805298,0.9375330805778503
77,0.26319053769111633,0.9374013543128967
78,0.2299651950597763,0.9524208903312683
79,0.20919710397720337,0.9602673053741455
80,0.20395061373710632,0.9636529088020325
81,0.1800001710653305,0.9711716771125793
82,0.14783723652362823,0.9803008437156677
83,0.13082614541053772,0.983500599861145
84,0.12796156108379364,0.9848504066467285
85,0.12796373665332794,0.9838293194770813
86,0.11826731264591217,0.9854342937469482
87,0.10696183145046234,0.9878650307655334
88,0.1010802835226059,0.9894222617149353
89,0.09895172715187073,0.9906265735626221
90,0.10164696723222733,0.990659773349762
91,0.09192682057619095,0.9921939373016357
92,0.10318257659673691,0.9905415177345276
93,0.10006725788116455,0.990695595741272
94,0.09917411208152771,0.9908889532089233
95,0.10713610798120499,0.9892781972885132
96,0.10334942489862442,0.990060567855835
97,0.10936605930328369,0.9892216920852661
98,0.11412197351455688,0.9882633686065674
99,0.1276906281709671,0.9857170581817627
100,0.1366831660270691,0.9833991527557373
101,0.13825124502182007,0.9830278158187866
102,0.15425321459770203,0.9790494441986084
103,0.1545422375202179,0.9786191582679749
104,0.1788056194782257,0.9718849062919617
105,0.18028362095355988,0.9709687829017639
106,0.1798844188451767,0.9721760749816895
107,0.18521225452423096,0.97122722864151
108,0.18206024169921875,0.9735923409461975
109,0.17798836529254913,0.9751267433166504
110,0.1726413369178772,0.9767760038375854
111,0.17658641934394836,0.9761185050010681
112,0.18402734398841858,0.9744563102722168
113,0.17601753771305084,0.9767506122589111
114,0.16922864317893982,0.9787798523902893
115,0.17555344104766846,0.9775595664978027
116,0.1736813187599182,0.977971613407135
117,0.1775314211845398,0.977281391620636
118,0.17610080540180206,0.9773223400115967
119,0.1627039760351181,0.980463445186615
120,0.149091437458992,0.9829282164573669
121,0.14193299412727356,0.9841445684432983
122,0.1561802178621292,0.9814474582672119
123,0.1577295958995819,0.9809176921844482
124,0.1663190871477127,0.978849470615387
125,0.16516204178333282,0.979097306728363
126,0.1748189479112625,0.9768038988113403
127,0.18834370374679565,0.9738376140594482
128,0.19538626074790955,0.9722381830215454
129,0.1994946002960205,0.9713500142097473
130,0.21498963236808777,0.9679090976715088
131,0.22157050669193268,0.9663596749305725
132,0.22801975905895233,0.9653366208076477
133,0.21592174470424652,0.9695613384246826
134,0.21093639731407166,0.9709957242012024
135,0.21672190725803375,0.9693588018417358
136,0.2039259523153305,0.97199946641922
137,0.19789189100265503,0.9729011058807373
138,0.19132953882217407,0.9743714332580566
139,0.2078610360622406,0.9704839587211609
140,0.19977930188179016,0.9728758931159973
141,0.19452647864818573,0.974138081073761
142,0.19828447699546814,0.9730179905891418
